name,date,value
East Killingly 1.3 Sw,357,41
East Killingly 1.3 Sw,364,1
East Killingly 1.3 Sw,378,4
East Killingly 1.3 Sw,392,6
East Killingly 1.3 Sw,399,10
East Killingly 1.3 Sw,406,11
East Killingly 1.3 Sw,413,2
East Killingly 1.3 Sw,420,43
East Killingly 1.3 Sw,434,13
East Killingly 1.3 Sw,672,1
East Killingly 1.3 Sw,700,13
East Killingly 1.3 Sw,707,30
East Killingly 1.3 Sw,714,1
East Killingly 1.3 Sw,721,26
East Killingly 1.3 Sw,728,11
East Killingly 1.3 Sw,742,43
East Killingly 1.3 Sw,749,3
East Killingly 1.3 Sw,756,38
East Killingly 1.3 Sw,763,37
East Killingly 1.3 Sw,770,36
East Killingly 1.3 Sw,777,2
East Killingly 1.3 Sw,784,3
East Killingly 1.3 Sw,826,2
East Killingly 1.3 Sw,1036,4
East Killingly 1.3 Sw,1050,12
East Killingly 1.3 Sw,1064,5
East Killingly 1.3 Sw,1078,7
East Killingly 1.3 Sw,1092,18
East Killingly 1.3 Sw,1106,15
East Killingly 1.3 Sw,1113,35
East Killingly 1.3 Sw,1120,48
East Killingly 1.3 Sw,1127,34
East Killingly 1.3 Sw,1134,43
East Killingly 1.3 Sw,1141,14
East Killingly 1.3 Sw,1148,37
East Killingly 1.3 Sw,1162,5
East Killingly 1.3 Sw,1169,5
East Killingly 1.3 Sw,1176,12
East Killingly 1.3 Sw,1449,5
East Killingly 1.3 Sw,1456,1
East Killingly 1.3 Sw,1463,2
East Killingly 1.3 Sw,1470,7
East Killingly 1.3 Sw,1477,24
East Killingly 1.3 Sw,1484,34
East Killingly 1.3 Sw,1491,19
East Killingly 1.3 Sw,1498,1
East Killingly 1.3 Sw,1505,6
East Killingly 1.3 Sw,1533,16
East Killingly 1.3 Sw,1547,48
East Killingly 1.3 Sw,1792,4
East Killingly 1.3 Sw,1799,15
East Killingly 1.3 Sw,1806,11
East Killingly 1.3 Sw,1813,2
East Killingly 1.3 Sw,1820,10
East Killingly 1.3 Sw,1827,53
East Killingly 1.3 Sw,1848,14
East Killingly 1.3 Sw,1855,61
East Killingly 1.3 Sw,1862,16
East Killingly 1.3 Sw,1883,18
East Killingly 1.3 Sw,1890,33
